,activation,filters,imfs,lags,maxpool,timesteps,score,preprocess
0,relu,2,6,6,True,168,12.085369647118203,minmax2
1,relu,2,6,6,False,168,7.473098625928043,minmax2
2,relu,2,6,12,True,168,8.577586889026742,minmax2
3,relu,2,6,12,False,168,5.553131440838114,minmax2
4,relu,2,6,18,True,168,12.136523282848689,minmax2
5,relu,2,6,18,False,168,8.78541970819549,minmax2
6,relu,2,6,24,True,168,12.040094465733908,minmax2
7,relu,2,6,24,False,168,9.11658494280918,minmax2
8,relu,2,6,30,True,168,27.713540774690877,minmax2
9,relu,2,6,30,False,168,9.191910490091425,minmax2
10,relu,2,6,36,True,168,12.261415847260201,minmax2
11,relu,2,6,36,False,168,10.806577533997991,minmax2
12,relu,2,6,42,True,168,12.374272940246328,minmax2
13,relu,2,6,42,False,168,3.4156941407888066,minmax2
14,relu,2,6,48,True,168,11.416808178732017,minmax2
15,relu,2,6,48,False,168,3.377235523680658,minmax2
16,relu,3,6,6,True,168,6.906036573626764,minmax2
17,relu,3,6,6,False,168,3.0254507365134526,minmax2
18,relu,3,6,12,True,168,8.292083333106476,minmax2
19,relu,3,6,12,False,168,5.609383679409654,minmax2
20,relu,3,6,18,True,168,11.118338032573464,minmax2
21,relu,3,6,18,False,168,5.074380894875122,minmax2
22,relu,3,6,24,True,168,11.977888595599316,minmax2
23,relu,3,6,24,False,168,4.956203599216611,minmax2
24,relu,3,6,30,True,168,28.215070485586796,minmax2
25,relu,3,6,30,False,168,4.808986384816901,minmax2
26,relu,3,6,36,True,168,11.6583214485833,minmax2
27,relu,3,6,36,False,168,8.102367102681507,minmax2
28,relu,3,6,42,True,168,10.701886969471717,minmax2
29,relu,3,6,42,False,168,11.148095114605747,minmax2
30,relu,3,6,48,True,168,28.52955067535721,minmax2
31,relu,3,6,48,False,168,7.808574935576256,minmax2
32,relu,4,6,6,True,168,6.677340478719416,minmax2
33,relu,4,6,6,False,168,2.890038707764893,minmax2
34,relu,4,6,12,True,168,8.366263015524906,minmax2
35,relu,4,6,12,False,168,3.379629042164933,minmax2
36,relu,4,6,18,True,168,11.585288911950126,minmax2
37,relu,4,6,18,False,168,3.909545872883896,minmax2
38,relu,4,6,24,True,168,11.627296471127634,minmax2
39,relu,4,6,24,False,168,3.9653640163423693,minmax2
