,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.5535013790527108,24,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.5218618429326174,48,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.524880970360642,72,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.5227996868466191,168,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.5108373616795592,336,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.467510647486683,672,std
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.556042274099114,24,std
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.535255189749239,48,std
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.531518139821196,72,std
11,tanh,1200,3,mean_squared_error,32,1,sigmoid,1.5074050615130392,168,std
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.511929014034579,336,std
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.4677295025350419,672,std
11,tanh,1200,4,mean_squared_error,32,1,sigmoid,1.6102395073159612,24,std
11,tanh,1200,4,mean_squared_error,32,1,sigmoid,1.5738549228797132,48,std
11,tanh,1200,4,mean_squared_error,32,1,sigmoid,1.5568505664466008,72,std
10,tanh,1200,4,mean_squared_error,30,1,sigmoid,1.5218186611745974,168,std
10,tanh,1200,4,mean_squared_error,30,1,sigmoid,1.5296940406920283,336,std
10,tanh,1200,4,mean_squared_error,30,1,sigmoid,1.4784620819788823,672,std
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.539610613512471,24,std
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.5320986155439549,48,std
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.5409399706026912,72,std
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.642005598205245,168,std
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.5982167731125496,336,std
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.508299548630936,672,std
