,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,6,mean_squared_error,10,1,sigmoid,2.647181705624071,672,minmax2
1,tanh,1200,6,mean_squared_error,12,1,sigmoid,3.1831822654998674,672,minmax2
2,tanh,1200,6,mean_squared_error,14,1,sigmoid,3.1122504490613037,672,minmax2
3,tanh,1200,6,mean_squared_error,16,1,sigmoid,3.1988740789610164,672,minmax2
4,tanh,1200,6,mean_squared_error,18,1,sigmoid,1.8745484270644426,672,minmax2
5,tanh,1200,6,mean_squared_error,20,1,sigmoid,2.974292670071543,672,minmax2
6,tanh,1200,6,mean_squared_error,22,1,sigmoid,2.4437804274140014,672,minmax2
7,tanh,1200,6,mean_squared_error,24,1,sigmoid,2.369723315568633,672,minmax2
8,tanh,1200,6,mean_squared_error,26,1,sigmoid,2.09108870441271,672,minmax2
9,tanh,1200,6,mean_squared_error,28,1,sigmoid,1.9262927113125445,672,minmax2
10,tanh,1200,6,mean_squared_error,30,1,sigmoid,1.8496387336427236,672,minmax2
11,tanh,1200,6,mean_squared_error,32,1,sigmoid,1.8354487410073455,672,minmax2
12,sigmoid,1200,6,mean_squared_error,10,1,sigmoid,6.165260785676741,672,minmax2
13,sigmoid,1200,6,mean_squared_error,12,1,sigmoid,2.6064457267573404,672,minmax2
14,sigmoid,1200,6,mean_squared_error,14,1,sigmoid,5.3564409481899835,672,minmax2
15,sigmoid,1200,6,mean_squared_error,16,1,sigmoid,2.5559639897792765,672,minmax2
16,sigmoid,1200,6,mean_squared_error,18,1,sigmoid,5.4972589022524785,672,minmax2
17,sigmoid,1200,6,mean_squared_error,20,1,sigmoid,7.129072468538881,672,minmax2
18,sigmoid,1200,6,mean_squared_error,22,1,sigmoid,2.4304632980471563,672,minmax2
19,sigmoid,1200,6,mean_squared_error,24,1,sigmoid,3.6392198763420067,672,minmax2
20,sigmoid,1200,6,mean_squared_error,26,1,sigmoid,2.413088377961639,672,minmax2
21,sigmoid,1200,6,mean_squared_error,28,1,sigmoid,4.826029526791476,672,minmax2
22,sigmoid,1200,6,mean_squared_error,30,1,sigmoid,2.988699587259682,672,minmax2
23,sigmoid,1200,6,mean_squared_error,32,1,sigmoid,6.211275983516371,672,minmax2
