,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,4,mean_squared_error,10,1,sigmoid,2.9458819830397016,72,minmax2
1,tanh,1200,4,mean_squared_error,12,1,sigmoid,3.4973241141756173,72,minmax2
2,tanh,1200,4,mean_squared_error,14,1,sigmoid,3.295992208358949,72,minmax2
3,tanh,1200,4,mean_squared_error,16,1,sigmoid,3.0477594652657087,72,minmax2
4,tanh,1200,4,mean_squared_error,18,1,sigmoid,1.991850911870578,72,minmax2
5,tanh,1200,4,mean_squared_error,20,1,sigmoid,2.561890486812407,72,minmax2
6,tanh,1200,4,mean_squared_error,22,1,sigmoid,2.210270057817753,72,minmax2
7,tanh,1200,4,mean_squared_error,24,1,sigmoid,2.0671292799611205,72,minmax2
8,tanh,1200,4,mean_squared_error,26,1,sigmoid,2.13462398929043,72,minmax2
9,tanh,1200,4,mean_squared_error,28,1,sigmoid,1.9994557298539128,72,minmax2
10,tanh,1200,4,mean_squared_error,30,1,sigmoid,2.163778132382844,72,minmax2
11,tanh,1200,4,mean_squared_error,32,1,sigmoid,1.8828062718857594,72,minmax2
12,sigmoid,1200,4,mean_squared_error,10,1,sigmoid,6.419518261164396,72,minmax2
13,sigmoid,1200,4,mean_squared_error,12,1,sigmoid,2.823314026004508,72,minmax2
14,sigmoid,1200,4,mean_squared_error,14,1,sigmoid,5.754641953179985,72,minmax2
15,sigmoid,1200,4,mean_squared_error,16,1,sigmoid,2.852463736202636,72,minmax2
16,sigmoid,1200,4,mean_squared_error,18,1,sigmoid,5.865307755876854,72,minmax2
17,sigmoid,1200,4,mean_squared_error,20,1,sigmoid,7.427600533645222,72,minmax2
18,sigmoid,1200,4,mean_squared_error,22,1,sigmoid,2.541220686773377,72,minmax2
19,sigmoid,1200,4,mean_squared_error,24,1,sigmoid,3.6918038520943877,72,minmax2
20,sigmoid,1200,4,mean_squared_error,26,1,sigmoid,2.6429452221488905,72,minmax2
21,sigmoid,1200,4,mean_squared_error,28,1,sigmoid,4.683325803094204,72,minmax2
22,sigmoid,1200,4,mean_squared_error,30,1,sigmoid,3.086835709173467,72,minmax2
23,sigmoid,1200,4,mean_squared_error,32,1,sigmoid,6.431381898033994,72,minmax2
