,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,8,mean_squared_error,10,1,sigmoid,2.190308302906608,24,std
1,tanh,1200,8,mean_squared_error,12,1,sigmoid,2.3658207999704883,24,std
2,tanh,1200,8,mean_squared_error,14,1,sigmoid,2.1863707925100275,24,std
3,tanh,1200,8,mean_squared_error,16,1,sigmoid,1.9004092851976455,24,std
4,tanh,1200,8,mean_squared_error,18,1,sigmoid,1.777912002413985,24,std
5,tanh,1200,8,mean_squared_error,20,1,sigmoid,1.8244074296317816,24,std
6,tanh,1200,8,mean_squared_error,22,1,sigmoid,1.7148379210473066,24,std
7,tanh,1200,8,mean_squared_error,24,1,sigmoid,1.66963235542848,24,std
8,tanh,1200,8,mean_squared_error,26,1,sigmoid,1.6500803470206062,24,std
9,tanh,1200,8,mean_squared_error,28,1,sigmoid,1.7934754905225903,24,std
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.539610613512471,24,std
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.5522150123712932,24,std
12,sigmoid,1200,8,mean_squared_error,10,1,sigmoid,6.135935100274954,24,std
13,sigmoid,1200,8,mean_squared_error,12,1,sigmoid,3.1897839865237247,24,std
14,sigmoid,1200,8,mean_squared_error,14,1,sigmoid,4.276147939081539,24,std
15,sigmoid,1200,8,mean_squared_error,16,1,sigmoid,2.9784185415520903,24,std
16,sigmoid,1200,8,mean_squared_error,18,1,sigmoid,2.517690717355094,24,std
17,sigmoid,1200,8,mean_squared_error,20,1,sigmoid,2.838334972713829,24,std
18,sigmoid,1200,8,mean_squared_error,22,1,sigmoid,2.3210245163299845,24,std
19,sigmoid,1200,8,mean_squared_error,24,1,sigmoid,2.5624906254882673,24,std
20,sigmoid,1200,8,mean_squared_error,26,1,sigmoid,2.495025717862206,24,std
21,sigmoid,1200,8,mean_squared_error,28,1,sigmoid,2.591324494823361,24,std
22,sigmoid,1200,8,mean_squared_error,30,1,sigmoid,2.4928121522822786,24,std
23,sigmoid,1200,8,mean_squared_error,32,1,sigmoid,2.501010917809673,24,std
